Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-07-15 01:00:00+00:00,119195.6328125,119533.4140625,119195.6328125,119533.4140625,0
2025-07-15 01:15:00+00:00,119104.125,119358.0546875,118798.640625,119210.9296875,508280832
2025-07-15 01:30:00+00:00,119427.578125,119448.2421875,119034.390625,119074.671875,3027140608
2025-07-15 01:45:00+00:00,118664.7421875,119380.3203125,118664.7421875,119345.703125,0
2025-07-15 02:00:00+00:00,118241.84375,118826.625,118241.84375,118486.2578125,2706505728
2025-07-15 02:15:00+00:00,117958.46875,118270.734375,117944.65625,118245.7578125,699072512
2025-07-15 02:30:00+00:00,118186.8125,118207.859375,117933.0625,117933.0625,1023705088
2025-07-15 02:45:00+00:00,118308.3515625,118377.5078125,118248.6953125,118248.6953125,3262316544
2025-07-15 03:00:00+00:00,117460.109375,118272.03125,117379.6328125,118272.03125,394919936
2025-07-15 03:15:00+00:00,117508.7578125,117566.2265625,117140.8125,117548.703125,1524711424
2025-07-15 03:30:00+00:00,117277.0078125,117473.7421875,117072.625,117473.7421875,898007040
2025-07-15 03:45:00+00:00,117261.6015625,117476.078125,117261.6015625,117277.0859375,591282176
2025-07-15 04:00:00+00:00,116870.2421875,117171.5,116385.875,117169.671875,1389477888
2025-07-15 04:15:00+00:00,117323.125,117375.53125,116952.453125,116952.453125,408862720
2025-07-15 04:30:00+00:00,117473.7265625,117473.7265625,117024.6015625,117310.8203125,3784704000
2025-07-15 04:45:00+00:00,117475.2734375,117480.1171875,117384.1484375,117480.1171875,1589870592
2025-07-15 05:00:00+00:00,117683.9296875,117737.3515625,117492.9453125,117494.4140625,300646400
2025-07-15 05:15:00+00:00,117514.7109375,117672.765625,117495.8515625,117672.765625,761479168
2025-07-15 05:30:00+00:00,117209.9140625,117530.6171875,117043.484375,117530.6171875,1026310144
2025-07-15 05:45:00+00:00,117382.125,117382.125,117134.1171875,117189.2265625,0
2025-07-15 06:00:00+00:00,117095.5703125,117329.7265625,116892.671875,117329.7265625,0
2025-07-15 06:15:00+00:00,117068.2578125,117128.9453125,116986.0234375,117128.21875,1997602816
2025-07-15 06:30:00+00:00,117045.640625,117049.4609375,116852.4296875,117021.890625,0
2025-07-15 06:45:00+00:00,117017.9140625,117049.015625,116895.4609375,117032.6484375,1354694656
2025-07-15 07:00:00+00:00,117091.9453125,117191.203125,116922.4140625,117029.875,1153679360
2025-07-15 07:15:00+00:00,117032.140625,117032.140625,116991.625,117024.9765625,1372733440
2025-07-15 07:30:00+00:00,116689.7421875,117004.7109375,116672.78125,117004.7109375,343015424
2025-07-15 07:45:00+00:00,116904.0703125,116904.0703125,116463.2578125,116708.9296875,1258586112
2025-07-15 08:00:00+00:00,116814.65625,116826.1953125,116692.8671875,116772.1953125,1301331968
2025-07-15 08:15:00+00:00,116791.5703125,116798.765625,116527.1953125,116798.765625,865353728
2025-07-15 08:30:00+00:00,116826.6171875,116826.6171875,116780.21875,116807.171875,2592768000
2025-07-15 08:45:00+00:00,116777.9140625,116812.265625,116736.8515625,116805.7734375,1119436800
2025-07-15 09:00:00+00:00,117031.4453125,117040.0078125,116742.1171875,116742.1171875,1189101568
2025-07-15 09:15:00+00:00,116987.1640625,117152.890625,116931.359375,117108.109375,1265598464
2025-07-15 09:30:00+00:00,116909.578125,117015.1953125,116904.1640625,116970.8671875,153534464
2025-07-15 09:45:00+00:00,116748.390625,116904.0,116748.390625,116847.9453125,339968000
2025-07-15 10:00:00+00:00,116790.9140625,116830.40625,116769.0546875,116769.0546875,1121304576
2025-07-15 10:15:00+00:00,116988.09375,117044.3671875,116770.9453125,116770.9453125,1394573312
2025-07-15 10:30:00+00:00,117102.859375,117102.859375,116921.7421875,116993.9140625,1184563200
2025-07-15 10:45:00+00:00,117023.9296875,117158.2890625,117023.9296875,117124.9921875,1270824960
2025-07-15 11:00:00+00:00,116859.4921875,117042.703125,116859.4921875,117031.9296875,934150144
2025-07-15 11:15:00+00:00,116430.3515625,116787.0625,116364.6953125,116787.0625,0
2025-07-15 11:30:00+00:00,116653.78125,116661.109375,116469.46875,116469.46875,53641216
2025-07-15 11:45:00+00:00,117140.0390625,117140.0390625,116669.5078125,116669.5078125,2337423360
2025-07-15 12:00:00+00:00,117095.1328125,117216.375,117017.953125,117113.6171875,2373042176
2025-07-15 12:15:00+00:00,116919.9453125,117077.5703125,116915.125,117061.96875,0
2025-07-15 12:30:00+00:00,116624.5546875,117390.703125,116624.5546875,116900.515625,2592161792
2025-07-15 12:45:00+00:00,117188.5078125,117189.8828125,116504.40625,116504.40625,590364672
2025-07-15 13:00:00+00:00,118006.21875,118086.9765625,117185.96875,117191.140625,2520203264
2025-07-15 13:15:00+00:00,117713.6484375,118028.4375,117689.84375,118028.4375,1881292800
2025-07-15 13:30:00+00:00,118279.2265625,118279.2265625,117543.3515625,117710.2578125,0
2025-07-15 13:45:00+00:00,118169.8125,118350.546875,117981.3046875,118301.3203125,54091776
2025-07-15 14:00:00+00:00,118389.6484375,118389.6484375,118042.8671875,118052.2890625,998760448
2025-07-15 14:15:00+00:00,117631.6796875,118375.4921875,117631.6796875,118375.4921875,1157832704
2025-07-15 14:30:00+00:00,116992.2890625,117593.1640625,116992.2890625,117593.1640625,1133133824
2025-07-15 14:45:00+00:00,116077.6171875,116981.8828125,115765.6875,116981.8828125,1498923008
2025-07-15 15:00:00+00:00,116146.078125,116249.875,115799.0078125,115967.5703125,459472896
2025-07-15 15:15:00+00:00,116020.5625,116322.4921875,115998.84375,116188.421875,2610331648
2025-07-15 15:30:00+00:00,116388.109375,116395.234375,116156.1015625,116175.7265625,1897250816
2025-07-15 15:45:00+00:00,116382.2734375,116645.8515625,116324.671875,116324.671875,1441136640
2025-07-15 16:00:00+00:00,117101.53125,117101.53125,116353.09375,116376.7421875,120545280
2025-07-15 16:15:00+00:00,116972.53125,116972.53125,116721.703125,116926.5703125,139116544
2025-07-15 16:30:00+00:00,117581.7265625,117581.7265625,116882.1640625,116882.1640625,1104617472
2025-07-15 16:45:00+00:00,117137.046875,117617.1328125,117137.046875,117591.8671875,1860050944
2025-07-15 17:00:00+00:00,117233.8515625,117287.8828125,117126.1171875,117126.1171875,1334362112
2025-07-15 17:15:00+00:00,117403.9921875,117460.78125,117213.6484375,117242.0234375,2820325376
2025-07-15 17:30:00+00:00,117295.265625,117456.6171875,117220.234375,117456.6171875,720789504
2025-07-15 17:45:00+00:00,117387.28125,117485.953125,117359.1171875,117398.6953125,1149911040
2025-07-15 18:00:00+00:00,117161.5546875,117374.9765625,117147.84375,117374.9765625,2194718720
2025-07-15 18:15:00+00:00,116834.453125,117198.359375,116834.453125,117121.7421875,263725056
2025-07-15 18:30:00+00:00,116251.9296875,116830.140625,116128.328125,116830.140625,542810112
2025-07-15 18:45:00+00:00,116792.6953125,116831.8515625,116411.671875,116447.703125,298074112
2025-07-15 19:00:00+00:00,117046.9453125,117124.875,116737.3125,116747.0,1197621248
2025-07-15 19:15:00+00:00,116820.359375,117091.703125,116809.453125,117065.5234375,3063308288
2025-07-15 19:30:00+00:00,116526.3359375,116869.3828125,116526.3359375,116831.4921875,198385664
2025-07-15 19:45:00+00:00,116526.4765625,116558.9921875,116351.6796875,116459.6640625,1184784384
2025-07-15 20:00:00+00:00,116614.125,116614.125,116490.4140625,116501.515625,226009088
2025-07-15 20:15:00+00:00,116574.4765625,116598.6796875,116297.28125,116598.6796875,132538368
2025-07-15 20:30:00+00:00,116486.6015625,116615.046875,116428.375,116428.375,11763712
